content_id,content_name,content_type_id,subcat_slug,slug,url
5000004,dailydose_news,61,NULL,NULL,/dailydose/2012/12/3/many_couches_contain_toxic_flame_retardants/
5000005,dailydose_news,61,NULL,NULL,/dailydose/2012/12/3/aspirin_may_lower_liver_cancer_risk/
5000006,dailydose_news,61,sleep-disorders,sleep-disorders,/dailydose/2012/12/3/lack_of_sleep_leaves_men_hungrier_prevents_women_feeling_full/
5000007,dailydose_news,61,alzheimers,alzheimers,/dailydose/2012/12/4/merck_takes_a_bold_step_with_alzheimer_s_drug/
5000009,dailydose_news,61,copd,copd,/dailydose/2012/12/4/teenagers_less_likely_to_buy_hidden_cigarettes/
5000010,dailydose_news,61,diabetes,diabetes,/dailydose/2012/12/5/birth_weight_linked_to_adult_diseases/
5000011,dailydose_news,61,NULL,NULL,/dailydose/2012/12/5/the_pinocchio_effect_nose_changes_when_you_lie/
5000012,dailydose_news,61,cold-flu,cold-flu,/dailydose/2012/12/5/why_is_the_flu_more_common_in_the_winter/
5000014,dailydose_news,61,NULL,NULL,/dailydose/2012/12/6/breath_test_can_detect_colon_cancer/
5000015,dailydose_news,61,NULL,NULL,/dailydose/2012/12/6/synthetic_marijuana_sends_thousands_to_er/
5000016,dailydose_news,61,NULL,NULL,/dailydose/2012/12/6/diet_radiation_impact_brain_tumors/
5000017,dailydose_news,61,diet-exercise,diet-exercise,/dailydose/2012/12/7/red_wine_could_prevent_cancer/
5000018,dailydose_news,61,heart-disease,heart-disease,/dailydose/2012/12/7/snoring_both_annoying_and_dangerous/
5000020,dailydose_news,61,heart-disease,heart-disease,/dailydose/2012/12/7/treadmill_test_still_reliable/
5000024,dailydose_news,61,NULL,NULL,/dailydose/2012/12/10/men_with_cancer_more_likely_to_die_from_it/
5000025,dailydose_news,61,breast-cancer,breast-cancer,/dailydose/2012/12/10/fruits_vegetables_linked_to_lower_breast_cancer_risk/
5000026,dailydose_news,61,diabetes,diabetes,/dailydose/2012/12/10/diabetes_risk_reduced_by_coffee_consumption/
5000030,dailydose_news,61,heart-disease,heart-disease,/dailydose/2012/12/11/cpr_chest_compressions_alone_preserves_brain_function/
5000031,dailydose_news,61,diet-exercise,diet-exercise,/dailydose/2012/12/11/mobile_app_jumpstarts_weight_loss/
5000032,dailydose_news,61,diet-exercise,diet-exercise,/dailydose/2012/12/11/salt_consumption_linked_to_higher_sugar_consumption_in_kids/
5000033,dailydose_news,61,diet-exercise,diet-exercise,/dailydose/2012/12/12/for_a_healthy_mouth_drink_more_coffee/
5000034,dailydose_news,61,heart-disease,heart-disease,/dailydose/2012/12/12/smoking_puts_women_at_high_risk_of_heart_attack/
5000035,dailydose_news,61,diet-exercise,diet-exercise,/dailydose/2012/12/12/the_healthiest_state_in_the_country_vermont/
5000037,dailydose_news,61,allergy,allergy,/dailydose/2012/12/13/cell_phone_app_can_test_for_allergens_in_food/
5000038,dailydose_news,61,alzheimers,alzheimers,/dailydose/2012/12/13/diabetes_drug_could_restore_memory_in_alzheimer_s/
5000039,dailydose_news,61,heart-disease,heart-disease,/dailydose/2012/12/13/heart_healthy_benefits_of_wine_undermined_by_obesity/
5000042,dailydose_news,61,depression,depression,/dailydose/2012/12/14/facebook_use_destroys_self_control/
